20 20
baba 0 0
glue 0 6
glue 0 10
glue 1 1
glue 2 1
glue 3 1
glue 4 1
glue 6 1
glue 8 1
glue 9 1
glue 10 1
glue 11 1
glue 12 1
glue 15 1
glue 16 1
glue 17 1
glue 18 1
glue 19 1
glue 1 2
glue 6 2
glue 8 2
flag 9 2
glue 12 2
glue 15 2
glue 16 2
glue 1 3
glue 2 3
glue 3 3
glue 4 3
glue 5 3
glue 8 3
glue 9 3
glue 15 3
glue 16 3
glue 4 4
glue 7 4
glue 8 4
glue 9 4
glue 10 4
glue 11 4
glue 13 4
glue 15 4
glue 16 4
glue 17 4
glue 19 4
glue 1 5
glue 4 5
glue 7 5
glue 9 5
glue 13 5
glue 15 5
glue 19 5
glue 1 6
glue 2 6
glue 4 6
glue 5 6
glue 9 6
glue 10 6
glue 11 6
glue 13 6
glue 14 6
glue 15 6
glue 16 6
glue 17 6
glue 18 6
glue 19 6
glue 2 7
glue 4 7
glue 5 7
glue 7 7
glue 8 7
glue 9 7
glue 10 7
glue 13 7
glue 14 7
glue 0 8
glue 1 8
glue 2 8
glue 4 8
glue 5 8
glue 11 8
glue 16 8
glue 17 8
glue 18 8
glue 19 8
glue 2 9
glue 6 9
glue 8 9
glue 10 9
glue 11 9
glue 12 9
glue 13 9
glue 14 9
glue 18 9
glue 2 10
glue 3 10
glue 5 10
glue 6 10
glue 15 10
glue 18 10
glue 3 11
glue 5 11
glue 8 11
glue 9 11
glue 10 11
glue 11 11
glue 13 11
glue 15 11
glue 16 11
glue 17 11
glue 18 11
glue 19 11
glue 0 12
glue 1 12
glue 5 12
glue 8 12
glue 9 12
glue 11 12
glue 13 12
glue 15 12
win 18 12
glue 1 13
glue 2 13
glue 3 13
glue 8 13
glue 9 13
glue 11 13
glue 13 13
glue 17 13
glue 18 13
glue 19 13
glue 3 14
glue 5 14
glue 6 14
glue 7 14
glue 8 14
glue 13 14
glue 14 14
glue 15 14
glue 16 14
glue 17 14
glue 2 15
glue 3 15
glue 5 15
glue 11 15
glue 12 15
glue 13 15
glue 17 15
glue 2 16
glue 5 16
glue 6 16
glue 13 16
glue 16 16
glue 17 16
glue 18 16
glue 19 16
glue 1 17
glue 2 17
glue 4 17
glue 6 17
glue 10 17
glue 13 17
glue 14 17
glue 15 17
glue 16 17
glue 17 17
text_flag 18 17
is 19 17
glue 4 18
glue 6 18
glue 7 18
glue 8 18
glue 9 18
glue 10 18
glue 11 18
glue 14 18
glue 15 18
glue 16 18
glue 17 18
text_glue 18 18
is 19 18
sticky 20 18
glue 0 19
glue 1 19
glue 2 19
glue 4 19
glue 6 19
glue 11 19
glue 13 19
glue 14 19
glue 16 19
glue 17 19
text_baba 18 19
is 19 19
you 20 19
glue 2 19
glue 14 19
glue 2 20
glue 9 20
glue 10 20
glue 11 20
glue 14 20
